Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,47.0,-51.75,90.0,top
C2,100n,C_0805_2012Metric,44.5,-31.0,0.0,top
C3,22uf,C_0805_2012Metric,44.5,-28.5,180.0,top
C4,22uf,C_0805_2012Metric,67.05,-41.5,180.0,top
C5,100n,C_0805_2012Metric,47.0,-34.75,-90.0,top
C6,22uf,C_0805_2012Metric,55.5,-44.5,180.0,top
C7,10uF,C_1206_3216Metric,79.12715,-48.0,-90.0,top
C8,10uF,C_1206_3216Metric,79.12715,-53.0,-90.0,top
C9,10uF,C_1206_3216Metric,79.65,-35.4,-90.0,top
C10,100nF,C_0603_1608Metric,69.5,-35.5,-90.0,top
C11,10uF,C_1206_3216Metric,79.65,-40.4,-90.0,top
C12,100nF,C_0603_1608Metric,69.65,-85.0,-90.0,top
C13,10uF,C_1206_3216Metric,79.5,-95.635,-90.0,top
C14,10uF,C_1206_3216Metric,79.5,-100.635,-90.0,top
C15,100nF,C_0603_1608Metric,50.6,-67.0,-90.0,top
C16,47uF,C_1206_3216Metric,65.5,-53.0,180.0,top
C17,22uF,C_0603_1608Metric,61.0,-52.0,0.0,top
C18,47uF,C_1206_3216Metric,65.5,-55.5,180.0,top
C19,2.2uF 60V,C_0603_1608Metric,64.2,-59.6,0.0,top
C20,2.2uF 60V,C_0603_1608Metric,64.2,-57.8,0.0,top
C21,39pf,C_0603_1608Metric,47.0,-70.2,90.0,top
C22,39pf,C_0603_1608Metric,48.8,-70.2,90.0,top
C24,6800pF,C_0603_1608Metric,50.6,-70.2,90.0,top
C25,100nF,C_0603_1608Metric,68.62715,-49.5,-90.0,top
C26,10uF,C_1206_3216Metric,80.15,-83.5,-90.0,top
C27,10uF,C_1206_3216Metric,80.15,-88.5,-90.0,top
C28,100nF,C_0603_1608Metric,69.0,-95.0,-90.0,top
C29,47uF,C_0805_2012Metric,56.0,-50.5,-90.0,top
C31,2.2uF 60V,C_0603_1608Metric,52.25,-98.0,180.0,top
C32,2.2uF 60V,C_0603_1608Metric,52.25,-96.5,180.0,top
C33,100nF,C_0603_1608Metric,50.5,-90.225,90.0,top
C34,6800pF,C_0603_1608Metric,52.0,-83.75,-90.0,top
C35,39pf,C_0603_1608Metric,52.75,-86.0,180.0,top
C36,39pf,C_0603_1608Metric,54.0,-87.5,180.0,top
C37,47uF,C_1206_3216Metric,48.25,-97.5,0.0,top
C38,47uF,C_1206_3216Metric,49.5,-100.5,0.0,top
C39,47uF,C_0805_2012Metric,50.0,-50.55,-90.0,top
C40,47uF,C_0805_2012Metric,51.99,-50.5,-90.0,top
C41,47uF,C_0805_2012Metric,54.0,-50.5,-90.0,top
D1,US1A,D_SMA,73.62715,-44.5,180.0,top
D2,D,D_SOD-123,83.12715,-51.0,0.0,top
D4,US1A,D_SMA,74.15,-31.5,180.0,top
D5,D,D_SOD-123,83.12715,-48.0,0.0,top
D6,D,D_SOD-123,83.65,-35.0,0.0,top
D7,D,D_SOD-123,83.65,-38.0,0.0,top
D8,US1A,D_SMA,74.0,-92.135,180.0,top
D9,D,D_SOD-123,83.5,-95.635,0.0,top
D10,D,D_SOD-123,83.5,-98.635,0.0,top
D11,US1A,D_SMA,74.65,-80.0,180.0,top
D12,D,D_SOD-123,84.15,-83.5,0.0,top
D13,D,D_SOD-123,84.15,-86.5,0.0,top
D18,B560C,D_SMC_Handsoldering,55.0,-64.0,90.0,top
D19,40v 1A ,D_SOD-323,48.75,-86.5,0.0,top
L1,8.2uH,L_12x12mm_H8mm,61.0,-79.0,-90.0,top
L2,15uH,L_7.3x7.3_H4.5,45.75,-92.0,-90.0,top
Q1,Q_NMOS_GDS,TO-252-2,109.5,-77.0,90.0,top
Q2,Q_NMOS_GDS,TO-252-2,118.5,-77.0,90.0,top
Q3,Q_NMOS_GDS,TO-252-2,109.5,-59.0,-90.0,top
Q4,Q_NMOS_GDS,TO-252-2,118.5,-59.0,-90.0,top
Q5,Q_NMOS_GDS,TO-252-2,118.525,-95.0,90.0,top
Q6,Q_NMOS_GDS,TO-252-2,109.5,-95.0,90.0,top
Q7,Q_NMOS_GDS,TO-252-2,118.525,-41.075,-90.0,top
Q8,Q_NMOS_GDS,TO-252-2,109.5,-41.0,-90.0,top
Q9,Q_NMOS_GDS,TO-252-2,100.5,-77.0,90.0,top
Q10,Q_NMOS_GDS,TO-252-2,91.5,-77.0,90.0,top
Q11,Q_NMOS_GDS,TO-252-2,100.5,-59.0,-90.0,top
Q12,Q_NMOS_GDS,TO-252-2,91.5,-59.0,-90.0,top
Q13,Q_NMOS_GDS,TO-252-2,100.5,-95.0,90.0,top
Q14,Q_NMOS_GDS,TO-252-2,91.5,-95.0,90.0,top
Q15,Q_NMOS_GDS,TO-252-2,100.5,-41.0,-90.0,top
Q16,Q_NMOS_GDS,TO-252-2,91.5,-41.0,-90.0,top
R1,1k,R_0603_1608Metric,72.0,-27.0875,90.0,top
R2,1k,R_0603_1608Metric,74.5,-27.0875,90.0,top
R3,15,R_0603_1608Metric,83.5,-93.135,0.0,top
R4,15,R_0603_1608Metric,83.45215,-45.5,0.0,top
R5,15,R_0603_1608Metric,83.5,-101.135,0.0,top
R6,15,R_0603_1608Metric,83.12715,-53.5,0.0,top
R7,15,R_0603_1608Metric,84.15,-81.0,0.0,top
R8,15,R_0603_1608Metric,83.65,-32.5,0.0,top
R9,15,R_0603_1608Metric,84.15,-89.0,0.0,top
R10,15,R_0603_1608Metric,83.65,-41.0,0.0,top
R11,15,R_0603_1608Metric,56.0,-105.0,0.0,top
R12,13k,R_0603_1608Metric,49.8,-72.8,0.0,top
R13,1k,R_0603_1608Metric,47.0,-45.25,-90.0,top
R14,1k,R_0603_1608Metric,50.0875,-44.5,0.0,top
R15,1k,R_0603_1608Metric,50.0875,-46.75,180.0,top
R16,10k,R_0603_1608Metric,55.5,-47.0,0.0,top
R17,1k,R_0603_1608Metric,47.0,-41.25,90.0,top
R18,82k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,54.5,-97.5,-90.0,top
R19,82k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.75,-60.0,90.0,top
R20,82k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,54.5,-101.0,-90.0,top
R21,82k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.0,-60.0,-90.0,top
R22,13k,R_0603_1608Metric,53.5,-83.75,90.0,top
R23,10k,R_0603_1608Metric,83.6,-26.3,0.0,top
R24,10k,R_0603_1608Metric,93.7,-26.9,0.0,top
R25,10k,R_0603_1608Metric,104.2,-27.3,0.0,top
R26,10k,R_0603_1608Metric,113.9,-27.1,0.0,top
Rvoltage1,"5.24*Rvoltage2  (5,6 - 7.5)",R_0603_1608Metric,48.8,-63.8,90.0,top
Rvoltage2,1k 1.4k,R_0603_1608Metric,48.8,-60.6,90.0,top
Rvoltage3,13k,R_0603_1608Metric,57.5,-87.5,-90.0,top
Rvoltage4,1.4k,R_0603_1608Metric,57.5,-90.5,-90.0,top
U2,IR2103,SOP-8_3.9x4.9mm_P1.27mm,74.0,-97.635,270.0,top
U3,IR2103,SOP-8_3.9x4.9mm_P1.27mm,73.62715,-50.0,270.0,top
U4,ESP32-WROOM-32D,ESP32-WROOM-32,58.0,-29.75,270.0,top
U5,IR2103,SOP-8_3.9x4.9mm_P1.27mm,74.65,-85.5,270.0,top
U6,IR2103,SOP-8_3.9x4.9mm_P1.27mm,74.15,-37.0,270.0,top
U7,TPS54360DDA,TI_SO-PowerPAD-8_ThermalVias,62.905,-67.3,-90.0,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,62.0,-47.275,0.0,top
U10,TPS54360DDA,TI_SO-PowerPAD-8_ThermalVias,54.0,-92.0,90.0,top
